Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
f8450a760366ef457b25f1c74452decc, HS 151 , IN 792 , EE 799 ,,,,,,
81d97f9d93db3f8ef240d27fea522d3b, MSE 630 , HS 517 , HS 422 , Politics and Economics,,,,,
9298a84f36c08feb71a5d56d7fc62bf6, CL 602 , CL 604 , ES 634 , IN 791 , FP 602 ,,,,
67f1ce5ef1d9c0a93d13993b31a5ac0f, CE 699 ,,,,,,,,
cd2e51f9b2eb37d3b3f3ff9962f5e6a0, CH 599 (A) , CH 599 (B) , CH 599 (C) ,,,,,,
f3372ac978230d76ea5c758a2cb08b44, CL 799 , IN 791 ,,,,,,,
a38e48f327258accfb7925c92e21163d, CE 605 , EH 602 , CE 799 , FP 602 ,,,,,
4ce48c860342b48edeb206ece3255c1a, CL 324 , CL 602 , CL 604 , MA 602 , MS 304 ,,,,
f66b6207849911060d69752ffbd17511, PH 504 , PH 505 , PH 506 , PH 507 , PH 499 ,,,,
691e8cd1fe14a3ff296b0437406fb514, ES 301 , ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , ES 215 ,,
61742ac3e5187887cc5f5dafdb059a28, HS 499 , HS 599(A) , HS 599(B) , HS 599(C) ,,,,,
fde227329c85ef1fb01ddfd74db5e784, CH 799 ,,,,,,,,
5135a078accd164ec981208fdfc61691, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
6c0549993cfba84dd69b15404f32cc12, HS 631 , HS 644 , HS 599(A) , HS 513 , HS 515 , MA 632 , FP 602 ,,
f3fdb2e639b7d037beaec7cd27b3f91c, EE 699 ,,,,,,,,
77f55da7a270e73199d9043f59f56a66, ES 202 , ES 301 , HS 201 , MA 202 , ES 215 , ES 214 ,,,
e99ecbe61cd0cdf05cedd54e6d53e58a, CS 699 ,,,,,,,,
